FISC_PERIOD,FISC_YEAR,REGION,OFFICE,TOWN,TTL_CPS_ACEPT_M,TTL_CPS_SUBS_M,TTL_ALLEGAT_M,TTL_ALLEGAT_SUBS_M,TTL_PHYS_ABUSE_M,TTL_EDUC_NEGLECT_M,TTL_EMOT_NEGLECT_M,TTL_HIGH_RISK_M,TTL_MEDI_NEGLECT_M,TTL_AT_RISK_M,TTL_PHYS_NEGLECT_M,TTL_SEX_ABUSE_M,SUBS_PHYS_ABUSE_M,SUBS_EDUC_NEGLECT_M,SUBS_EMOT_NEGLECT_M,SUBS_HIGH_RISK_M,SUBS_MEDI_NEGLECT_M,SUBS_AT_RISK_M,SUBS_PHYS_NEGLECT_M,SUBS_SEX_ABUSE_M,CHILDREN_SUBS,RATE_PHYS_ABUSE_M,RATE_EDUC_NEGLECT_M,RATE_EMOT_NEGLECT_M,RATE_HIGH_RISK_M,RATE_MEDI_NEGLECT_M,RATE_AT_RISK_M,RATE_PHYS_NEGLECT_M,RATE_SEX_ABUSE_M
07/01/2011 - 06/30/2012,2012,REGION 2,NEW HAVEN,NEW HAVEN,2012,447,5194,1078,573,92,762,-,139,-,3320,137,33,32,148,-,33,-,792,24,659,6%,133%,20%,-,121%,-,36%,18%
07/01/2010 - 06/30/2011,2011,ALL,NULL,Statewide,29679,6685,80891,18686,9113,1949,16603,-,1770,-,46479,2311,666,894,4023,-,478,-,11578,547,9511,7%,46%,24%,-,27%,-,25%,24%
07/01/2010 - 06/30/2011,2011,REGION 1,BRIDGEPORT,MONROE,45,14,104,32,17,-,17,-,<= 10,-,55,<= 10,<= 10,-,<= 10,-,-,-,21,<= 10,21,10 - 20 %,-,10 - 20 %,-,0 - 10 %,-,38%,10 - 20 %
07/01/2010 - 06/30/2011,2011,REGION 1,BRIDGEPORT,BRIDGEPORT,2014,567,5294,1453,717,199,930,-,164,-,2992,133,74,131,225,-,68,-,887,41,823,10%,66%,24%,-,41%,-,30%,31%
07/01/2010 - 06/30/2011,2011,REGION 1,BRIDGEPORT,TRUMBULL,91,23,221,48,35,<= 10,34,-,<= 10,-,117,14,<= 10,<= 10,<= 10,-,-,-,29,<= 10,34,0 - 10 %,40 - 50 %,20 - 30 %,-,0 - 10 %,-,25%,20 - 30 %
07/01/2010 - 06/30/2011,2011,REGION 1,BRIDGEPORT,STRATFORD,301,63,679,128,105,16,142,-,16,-,350,11,<= 10,<= 10,34,-,<= 10,-,76,<= 10,85,0 - 10 %,40 - 50 %,24%,-,10 - 20 %,-,22%,20 - 30 %
07/01/2010 - 06/30/2011,2011,REGION 1,NORWALK,WESTPORT,84,24,206,50,13,<= 10,49,-,<= 10,-,118,<= 10,<= 10,<= 10,11,-,-,-,32,<= 10,32,10 - 20 %,30 - 40 %,22%,-,0 - 10 %,-,27%,50 - 60 %
07/01/2010 - 06/30/2011,2011,REGION 1,NORWALK,WILTON,41,11,90,17,<= 10,<= 10,25,-,<= 10,-,46,<= 10,<= 10,<= 10,<= 10,-,-,-,<= 10,-,12,0 - 10 %,90 - 100 %,10 - 20 %,-,0 - 10 %,-,10 - 20 %,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 2,MILFORD,WEST HAVEN,504,133,1306,278,133,55,276,-,21,-,759,32,15,24,64,-,<= 10,-,160,<= 10,179,11%,44%,23%,-,30 - 40 %,-,21%,10 - 20 %
07/01/2010 - 06/30/2011,2011,REGION 2,MILFORD,NORTH HAVEN,87,18,217,43,45,12,32,-,<= 10,-,109,<= 10,<= 10,<= 10,<= 10,-,<= 10,-,17,<= 10,19,10 - 20 %,80 - 90 %,0 - 10 %,-,70 - 80 %,-,16%,10 - 20 %
