"Town","FIPS","Year","Allegation Type","Report Status","Measure Type","Variable","Value"
"Andover","0901301080",2011,"All","Alleged","Number","Child Abuse and Neglect",54
"Andover","0901301080",2011,"All","Substantiated","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2011,"All","Substantiated","Rate","Child Abuse and Neglect",-9999
"Andover","0901301080",2011,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2011,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2011,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999
"Andover","0901301080",2011,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2011,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2011,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999
"Andover","0901301080",2011,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",13
"Andover","0901301080",2011,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2011,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999
"Andover","0901301080",2011,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2011,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2011,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999
"Andover","0901301080",2011,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2011,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2011,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999
"Andover","0901301080",2011,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2011,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2011,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999
"Andover","0901301080",2011,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",27
"Andover","0901301080",2011,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2011,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999
"Andover","0901301080",2011,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2011,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2011,"Sexual Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999
"Andover","0901301080",2012,"All","Alleged","Number","Child Abuse and Neglect",21
"Andover","0901301080",2012,"All","Substantiated","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2012,"All","Substantiated","Rate","Child Abuse and Neglect",-9999
"Andover","0901301080",2012,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2012,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2012,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999
"Andover","0901301080",2012,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2012,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2012,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999
"Andover","0901301080",2012,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2012,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2012,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999
"Andover","0901301080",2012,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2012,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2012,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999
"Andover","0901301080",2012,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2012,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2012,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999
"Andover","0901301080",2012,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2012,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2012,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999
"Andover","0901301080",2012,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",12
"Andover","0901301080",2012,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2012,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999
"Andover","0901301080",2012,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",-9999
"Andover","0901301080",2012,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",-9999
